Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785793769,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785793770,1,,Aggregated,0.000000,0.000000,180,180,180,180,180,180,180,180,180,180,180,1,0,175.68824000045424,175.68824000045424,175.68824000045424,175.68824000045424,14137.0
1785793771,2,,Aggregated,0.000000,0.000000,160,160,180,180,180,180,180,180,180,180,180,3,0,160,133.95854066523802,67.79963399458211,175.68824000045424,101055.0
1785793772,3,,Aggregated,0.000000,0.000000,160,160,180,180,180,180,180,180,180,180,180,4,0,88,122.55736274892115,67.79963399458211,175.68824000045424,79325.5
1785793773,4,,Aggregated,1.000000,0.000000,88,160,180,180,200,200,200,200,200,200,200,7,0,88,121.13115271391247,67.79963399458211,202.0088429999305,427940.71428571426
1785793774,4,,Aggregated,1.500000,0.000000,88,92,160,180,200,200,200,200,200,200,200,9,0,88,113.26774533275359,67.79963399458211,202.0088429999305,354660.77777777775
1785793775,4,,Aggregated,1.333333,0.000000,91,110,160,160,180,200,200,200,200,200,200,11,0,91,110.63456799985778,67.79963399458211,202.0088429999305,429347.2727272727
1785793776,4,,Aggregated,1.800000,0.000000,91,92,110,160,180,200,200,200,200,200,200,15,0,91,103.76535546674859,61.53145999996923,202.0088429999305,474076.86666666664
1785793777,4,,Aggregated,1.833333,0.000000,91,92,110,110,180,200,200,200,200,200,200,16,0,88,101.95977468765705,61.53145999996923,202.0088429999305,459379.8125
1785793778,4,,Aggregated,1.833333,0.000000,92,92,110,110,180,200,200,200,200,200,200,18,0,91,101.60005122250166,61.53145999996923,202.0088429999305,527452.8333333334
1785793779,4,,Aggregated,2.000000,0.000000,91,92,110,110,160,180,200,200,200,200,200,22,0,88,98.10086377282542,55.646546999923885,202.0088429999305,519369.13636363635
1785793780,4,,Aggregated,1.875000,0.000000,91,92,110,110,160,180,200,200,200,200,200,24,0,88,96.62372466664237,55.646546999923885,202.0088429999305,539287.4583333334
1785793781,4,,Aggregated,2.200000,0.000000,87,92,110,110,160,180,200,200,200,200,200,28,0,86,92.32567064308179,55.646546999923885,202.0088429999305,516513.71428571426
1785793782,4,,Aggregated,2.200000,0.000000,87,92,100,110,160,180,200,200,200,200,200,30,0,86,92.13025343342451,55.646546999923885,202.0088429999305,508457.36666666664
1785793783,4,,Aggregated,2.400000,0.000000,85,92,94,110,130,180,200,200,200,200,200,34,0,81,89.18608523548328,55.646546999923885,202.0088429999305,518128.0588235294
1785793784,4,,Aggregated,2.400000,0.000000,85,92,100,110,130,180,200,200,200,200,200,37,0,85,90.86962281100962,55.646546999923885,202.0088429999305,534160.1351351351
